Test Set,Setting,Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_cat_accuracy
v2.1,onto,default,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.552559787254906,0.6136826686062958,0.0412615301139446,0.1268312533912099,0.1718453336950624,0.5631428505756184
v2.1,onto,default,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.552559787254906,0.6136826686062958,0.0412615301139446,0.1268312533912099,0.1718453336950624,0.5631428505756184
v2.1,onto,default,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.970971242539338,0.9774823657080848,0.98290830168204,0.3985659551176793,0.2608296296296296,0.2896861638632664,0.3229788388497016,0.8335548833423765,0.4509172037679722
v2.1,onto,default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
v2.1,onto,default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
v2.1,onto,default,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9723239723239724,0.9753086419753086,0.9811423144756478,0.4644615134564903,0.7584105488239488,0.6473979107312441,0.6522859856193189,0.8763637362637362,0.3971582613354765
v2.1,onto,default,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.9023331524688007,0.9038252848616386,0.943163320672816,0.7773006852375987,0.8832695292291776,0.637682576692892,0.6749864351600651,0.8280550260499187,0.7436807941962581
v2.1,onto,default,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8175529028757461,0.8309820944112859,0.9654096581660336,0.2809384735202492,0.2809384735202492,0.3032710851739317,,0.3032710851739317,
v2.1,onto,default,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8160607704829083,0.8229788388497016,0.8749321758003256,0.596942372881356,0.6019773479402031,0.3481649378282691,0.7847259902333152,0.3757662757253391,0.6183320811419984
v2.1,onto,nocross,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.4108313687144279,0.2429587424738352,0.5952560897622231,0.6869963916546841,0.6524157265266443,0.5631428505756184
v2.1,onto,nocross,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.4108313687144279,0.2429587424738352,0.5952560897622231,0.6869963916546841,0.6524157265266443,0.5631428505756184
v2.1,onto,nocross,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.970971242539338,0.9774823657080848,0.98290830168204,0.3340175150519978,0.057037037037037,0.2807921866521975,0.3229788388497016,0.7981551817688551,0.4509172037679722
v2.1,onto,nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
v2.1,onto,nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
v2.1,onto,nocross,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9723239723239724,0.9753086419753086,0.9811423144756478,0.3610746178945561,0.1696364932287954,0.6415683082349749,0.6522859856193189,0.7701804368471035,0.3971582613354765
v2.1,onto,nocross,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.9023331524688007,0.9038252848616386,0.943163320672816,0.6570758230299419,0.4808587687532333,0.6146228974498101,0.6749864351600651,0.7021161150298426,0.7436807941962581
v2.1,onto,nocross,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8175529028757461,0.8309820944112859,0.9654096581660336,0.1552440290758047,0.1552440290758047,0.301953336950624,,0.301953336950624,
v2.1,onto,nocross,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8160607704829083,0.8229788388497016,0.8749321758003256,0.3333841807909604,0.2259500171174255,0.3278621812262615,0.7847259902333152,0.3421052631578947,0.6183320811419984
v2.1,onto,nofuzzy,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.4108313687144279,0.2429587424738352,0.0320130222463374,0.1268312533912099,0.1113673358654367,0.5631428505756184
v2.1,onto,nofuzzy,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9256051004786544,0.9300815844040076,0.9639362052593842,0.4108313687144279,0.2429587424738352,0.0320130222463374,0.1268312533912099,0.1113673358654367,0.5631428505756184
v2.1,onto,nofuzzy,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.970971242539338,0.9774823657080848,0.98290830168204,0.3340175150519978,0.057037037037037,0.2807921866521975,0.3229788388497016,0.7981551817688551,0.4509172037679722
v2.1,onto,nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
v2.1,onto,nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
v2.1,onto,nofuzzy,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9723239723239724,0.9753086419753086,0.9811423144756478,0.3610746178945561,0.1696364932287954,0.6415683082349749,0.6522859856193189,0.7701804368471035,0.3971582613354765
v2.1,onto,nofuzzy,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.9023331524688007,0.9038252848616386,0.943163320672816,0.6570758230299419,0.4808587687532333,0.6146228974498101,0.6749864351600651,0.7021161150298426,0.7436807941962581
v2.1,onto,nofuzzy,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8175529028757461,0.8309820944112859,0.9654096581660336,0.1552440290758047,0.1552440290758047,0.301953336950624,,0.301953336950624,
v2.1,onto,nofuzzy,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8160607704829083,0.8229788388497016,0.8749321758003256,0.3333841807909604,0.2259500171174255,0.3278621812262615,0.7847259902333152,0.3421052631578947,0.6183320811419984
v2.1,both,default,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.5873073399405297,0.6201239544187175,0.0449118285404232,0.1177428106348345,0.2467928648941942,0.6301925514378969
v2.1,both,default,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.5873073399405297,0.6201239544187175,0.0449118285404232,0.1177428106348345,0.2467928648941942,0.6301925514378969
v2.1,both,default,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.0,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.4717402082300446
v2.1,both,default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
v2.1,both,default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
v2.1,both,default,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.4779297106915924,0.7849322879543834,0.4996715371048704,0.5037308370641704,0.8752911409578077,0.4095857611680396
v2.1,both,default,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8591969614758546,0.8602821486706457,0.943163320672816,0.8182913335650562,0.8987946197620279,0.4629897884563212,0.5309278350515464,0.7208343923290831,0.7960990199821815
v2.1,both,default,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.3832126168224298,0.3832126168224298,0.5795325576436468,,0.5795325576436468,
v2.1,both,default,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8311177428106349,0.8403418339663592,0.8749321758003256,0.7182354237288135,0.6952242382745635,0.3250393522354857,0.6068909386869235,0.5539799196812263,0.7834335086401202
v2.1,both,nocross,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.5828924674922,0.592880978865406,0.7081006533878954,0.6301925514378969
v2.1,both,nocross,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.5828924674922,0.592880978865406,0.7081006533878954,0.6301925514378969
v2.1,both,nocross,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.0,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.4717402082300446
v2.1,both,nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
v2.1,both,nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
v2.1,both,nocross,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.3718450234292583,0.1703492516037063,0.4947768281101614,0.5037308370641704,0.7651607651607651,0.4095857611680396
v2.1,both,nocross,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8591969614758546,0.8602821486706457,0.943163320672816,0.6913765993015211,0.4749094671495085,0.4355670103092783,0.5309278350515464,0.5884427563754747,0.7960990199821815
v2.1,both,nocross,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.1673156801661474,0.1673156801661474,0.5778621812262615,,0.5778621812262615,
v2.1,both,nocross,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8311177428106349,0.8403418339663592,0.8749321758003256,0.4189322033898305,0.2654342120278443,0.2856755290287575,0.6068909386869235,0.5002712967986978,0.7834335086401202
v2.1,both,nofuzzy,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.0375746066196418,0.1177428106348345,0.1597938144329896,0.6301925514378969
v2.1,both,nofuzzy,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.0375746066196418,0.1177428106348345,0.1597938144329896,0.6301925514378969
v2.1,both,nofuzzy,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.0,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.4717402082300446
v2.1,both,nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
v2.1,both,nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
v2.1,both,nofuzzy,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.3718450234292583,0.1703492516037063,0.4947768281101614,0.5037308370641704,0.7651607651607651,0.4095857611680396
v2.1,both,nofuzzy,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8591969614758546,0.8602821486706457,0.943163320672816,0.6913765993015211,0.4749094671495085,0.4355670103092783,0.5309278350515464,0.5884427563754747,0.7960990199821815
v2.1,both,nofuzzy,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.1673156801661474,0.1673156801661474,0.5778621812262615,,0.5778621812262615,
v2.1,both,nofuzzy,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8311177428106349,0.8403418339663592,0.8749321758003256,0.4189322033898305,0.2654342120278443,0.2856755290287575,0.6068909386869235,0.5002712967986978,0.7834335086401202
