Test Set,Setting,Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
v2.1,onto,hotel,hotel-pricerange,Non-mapping,Categorical,0.8545651878985212,0.5694779116465863,0.4428482198625859,0.7975253093363329
v2.1,onto,hotel,hotel-type,Non-mapping,Categorical,0.7993487993487993,0.0987202925045703,0.1379897785349233,0.0768500948766603
v2.1,onto,hotel,hotel-parking,Non-mapping,Categorical,0.8308234974901642,0.0280592361652377,0.0237467018469656,0.0342857142857142
v2.1,onto,hotel,hotel-bookday,Non-mapping,Categorical,0.938135938135938,0.7790697674418605,0.7369385884509624,0.8263103802672148
v2.1,onto,hotel,hotel-bookpeople,Mapping,Categorical,0.9009632342965675,0.5633971291866029,0.7246153846153847,0.4608610567514677
v2.1,onto,hotel,hotel-bookstay,Mapping,Categorical,0.9648622981956316,0.8634686346863468,0.8206412825651302,0.9110122358175752
v2.1,onto,hotel,hotel-stars,Mapping,Categorical,0.9032695699362366,0.7005459890802185,0.6587677725118484,0.747982062780269
v2.1,onto,hotel,hotel-internet,Non-mapping,Categorical,0.8477818477818477,0.0157894736842105,0.0205949656750572,0.0128022759601706
v2.1,onto,hotel,hotel-name,Mapping,Non-categorical,0.7701804368471035,0.2193548387096774,0.1406619385342789,0.497907949790795
v2.1,onto,hotel,hotel-area,Non-mapping,Categorical,0.7745217745217745,0.3502736512900703,0.2531073446327683,0.5685279187817259
v2.1,onto,train,train-destination,Mapping,Non-categorical,0.4095225176342919,0.1588405797101449,0.0943093162000917,0.5030599755201959
v2.1,onto,train,train-arriveby,Non-mapping,Non-categorical,0.7643787303309821,0.1096873398257303,0.1706539074960127,0.0808157099697885
v2.1,onto,train,train-departure,Mapping,Non-categorical,0.6848887683125339,0.3157584683357879,0.2482630847614636,0.4336569579288026
v2.1,onto,train,train-day,Non-mapping,Categorical,0.8958220293000543,0.8415841584158416,0.8789314950452392,0.8072813612979818
v2.1,onto,train,train-bookpeople,Mapping,Categorical,0.8632664134563213,0.2112676056338027,0.9854014598540146,0.1183172655565293
v2.1,onto,train,train-leaveat,Non-mapping,Non-categorical,0.763293543136191,0.4332575511529717,0.291520979020979,0.843236409608091
v2.1,onto,attraction,attraction-area,Non-mapping,Categorical,0.3944655453065653,0.2739102147039687,0.167329093799682,0.7544802867383512
v2.1,onto,attraction,attraction-name,Mapping,Non-categorical,0.7981551817688551,0.0937880633373934,0.127062706270627,0.0743243243243243
v2.1,onto,attraction,attraction-type,Mapping,Categorical,0.8293543136190993,0.4882017900732303,0.56657223796034,0.4288777698355968
v2.1,onto,restaurant,restaurant-pricerange,Mapping,Categorical,0.8794085729788389,0.739982451009067,0.7059151785714286,0.7775046097111248
v2.1,onto,restaurant,restaurant-area,Non-mapping,Categorical,0.7885241454150841,0.6081930133199297,0.469356089992242,0.8636688079942898
v2.1,onto,restaurant,restaurant-food,Mapping,Categorical,0.9148128052088984,0.8563586459286366,0.763458401305057,0.975
v2.1,onto,restaurant,restaurant-name,Mapping,Non-categorical,0.7144601193705914,0.228089475614228,0.1342832469775474,0.7566909975669099
v2.1,onto,restaurant,restaurant-bookday,Non-mapping,Categorical,0.9525230602278894,0.8700816629547142,0.7897574123989218,0.968595041322314
v2.1,onto,restaurant,restaurant-bookpeople,Mapping,Categorical,0.918068366793272,0.7518488085456039,0.8250676284941388,0.690566037735849
v2.1,onto,restaurant,restaurant-booktime,Mapping,Non-categorical,0.9507596310363536,0.8648044692737431,0.7755511022044088,0.9772727272727272
v2.1,onto,taxi,taxi-leaveat,Non-mapping,Non-categorical,0.6346988605534455,0.1121002307945928,0.0619533527696793,0.5882352941176471
