Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_cat_accuracy
default,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.5873073399405297,0.6201239544187175,0.0449118285404232,0.1177428106348345,0.2467928648941942,0.6301925514378969
default,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.5873073399405297,0.6201239544187175,0.0449118285404232,0.1177428106348345,0.2467928648941942,0.6301925514378969
default,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.0,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.4717402082300446
default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
default,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.4779297106915924,0.7849322879543834,0.4996715371048704,0.5037308370641704,0.8752911409578077,0.4095857611680396
default,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8591969614758546,0.8602821486706457,0.943163320672816,0.8182913335650562,0.8987946197620279,0.4629897884563212,0.5309278350515464,0.7208343923290831,0.7960990199821815
default,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.3832126168224298,0.3832126168224298,0.5795325576436468,,0.5795325576436468,
default,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8311177428106349,0.8403418339663592,0.8749321758003256,0.7182354237288135,0.6952242382745635,0.3250393522354857,0.6068909386869235,0.5539799196812263,0.7834335086401202
nocross,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.5828924674922,0.592880978865406,0.7081006533878954,0.6301925514378969
nocross,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.5828924674922,0.592880978865406,0.7081006533878954,0.6301925514378969
nocross,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.0,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.4717402082300446
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
nocross,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.3718450234292583,0.1703492516037063,0.4947768281101614,0.5037308370641704,0.7651607651607651,0.4095857611680396
nocross,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8591969614758546,0.8602821486706457,0.943163320672816,0.6913765993015211,0.4749094671495085,0.4355670103092783,0.5309278350515464,0.5884427563754747,0.7960990199821815
nocross,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.1673156801661474,0.1673156801661474,0.5778621812262615,,0.5778621812262615,
nocross,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8311177428106349,0.8403418339663592,0.8749321758003256,0.4189322033898305,0.2654342120278443,0.2856755290287575,0.6068909386869235,0.5002712967986978,0.7834335086401202
nofuzzy,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.0375746066196418,0.1177428106348345,0.1597938144329896,0.6301925514378969
nofuzzy,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.933414723950158,0.9395190202120032,0.9639362052593842,0.4427644708511323,0.2472723966541399,0.0375746066196418,0.1177428106348345,0.1597938144329896,0.6301925514378969
nofuzzy,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.0,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.4717402082300446
nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
nofuzzy,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.3718450234292583,0.1703492516037063,0.4947768281101614,0.5037308370641704,0.7651607651607651,0.4095857611680396
nofuzzy,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8591969614758546,0.8602821486706457,0.943163320672816,0.6913765993015211,0.4749094671495085,0.4355670103092783,0.5309278350515464,0.5884427563754747,0.7960990199821815
nofuzzy,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.1673156801661474,0.1673156801661474,0.5778621812262615,,0.5778621812262615,
nofuzzy,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.8311177428106349,0.8403418339663592,0.8749321758003256,0.4189322033898305,0.2654342120278443,0.2856755290287575,0.6068909386869235,0.5002712967986978,0.7834335086401202
