domain,slot,mapping,categorical,accuracy,f1,recall,precision
hotel,hotel-pricerange,non-mapping,categorical,0.8545651878985212,0.5694779116465863,0.4428482198625859,0.7975253093363329
hotel,hotel-type,non-mapping,categorical,0.7993487993487993,0.09872029250457037,0.13798977853492334,0.07685009487666034
hotel,hotel-parking,non-mapping,categorical,0.8308234974901642,0.028059236165237728,0.023746701846965697,0.03428571428571429
hotel,hotel-bookday,non-mapping,categorical,0.9381359381359381,0.7790697674418605,0.7369385884509624,0.8263103802672148
hotel,hotel-bookpeople,mapping,categorical,0.743996743996744,0.286578449905482,0.23208818126148192,0.37450592885375494
hotel,hotel-bookstay,mapping,categorical,0.9301315967982635,0.776959722823733,0.6379800853485064,0.9933554817275747
hotel,hotel-stars,mapping,categorical,0.9397639397639398,0.8145363408521303,0.7695343330702447,0.865128660159716
hotel,hotel-internet,non-mapping,categorical,0.8477818477818477,0.015789473684210527,0.020594965675057208,0.012802275960170697
hotel,hotel-name,mapping,non-categorical,0.7651607651607651,0.2163875056586691,0.13374370453273643,0.566350710900474
hotel,hotel-area,non-mapping,categorical,0.7745217745217745,0.3502736512900703,0.25310734463276835,0.5685279187817259
train,train-destination,mapping,categorical,0.8030385241454151,0.7457983193277311,0.6421465179378957,0.8893528183716075
train,train-arriveby,non-mapping,non-categorical,0.7643787303309821,0.10968733982573038,0.17065390749601275,0.08081570996978851
train,train-departure,mapping,categorical,0.8929734129137277,0.8542936288088642,0.7769566677863621,0.9487284659557014
train,train-day,non-mapping,categorical,0.8958220293000543,0.8415841584158416,0.8789314950452392,0.8072813612979818
train,train-bookpeople,mapping,categorical,0.6752577319587629,0.45516613563950836,0.30404378230465184,0.9049773755656109
train,train-leaveat,non-mapping,non-categorical,0.763293543136191,0.4332575511529717,0.291520979020979,0.843236409608091
attraction,attraction-area,non-mapping,categorical,0.39446554530656536,0.27391021470396876,0.16732909379968203,0.7544802867383512
attraction,attraction-name,mapping,non-categorical,0.8168746608790016,0.0,0.0,0.0
attraction,attraction-type,mapping,categorical,0.8270482908301682,0.5172283226050738,0.53027950310559,0.5048041389504804
restaurant,restaurant-pricerange,mapping,categorical,0.856348345089528,0.7335849056603774,0.586484312148029,0.9791806581598388
restaurant,restaurant-area,non-mapping,categorical,0.7885241454150841,0.6081930133199297,0.46935608999224204,0.8636688079942898
restaurant,restaurant-food,mapping,non-categorical,0.762072707542051,0.4785969084423306,0.3207171314741036,0.9426229508196722
restaurant,restaurant-name,mapping,non-categorical,0.7107976125881714,0.22019019751280172,0.1262054507337526,0.8624641833810889
restaurant,restaurant-bookday,non-mapping,categorical,0.9525230602278894,0.8700816629547142,0.7897574123989218,0.968595041322314
restaurant,restaurant-bookpeople,mapping,categorical,0.7944926749864352,0.61867606342814,0.46116322701688556,0.9396024464831805
restaurant,restaurant-booktime,mapping,non-categorical,0.8373575691806837,0.658501851324409,0.4931740614334471,0.9905741216795202
taxi,taxi-leaveat,non-mapping,non-categorical,0.6346988605534455,0.11210023079459282,0.0619533527696793,0.5882352941176471
taxi,taxi-destination,mapping,non-categorical,0.9206456863809007,0.23328964613368286,0.14983164983164984,0.5266272189349113
taxi,taxi-departure,non-mapping,non-categorical,0.9160336408030385,0.060698027314112286,0.050505050505050504,0.07604562737642585
taxi,taxi-arriveby,non-mapping,non-categorical,0.967444384156267,0.0,0.0,0.0
