domain,slot,mapping,categorical,accuracy,f1,recall,precision
hotel,hotel-pricerange,non-mapping,categorical,0.8545651878985212,0.5694779116465863,0.4428482198625859,0.7975253093363329
hotel,hotel-type,non-mapping,categorical,0.7993487993487993,0.09872029250457037,0.13798977853492334,0.07685009487666034
hotel,hotel-parking,non-mapping,categorical,0.8308234974901642,0.028059236165237728,0.023746701846965697,0.03428571428571429
hotel,hotel-bookday,non-mapping,categorical,0.9381359381359381,0.7790697674418605,0.7369385884509624,0.8263103802672148
hotel,hotel-bookpeople,mapping,categorical,0.9009632342965677,0.5633971291866029,0.7246153846153847,0.4608610567514677
hotel,hotel-bookstay,mapping,categorical,0.9648622981956315,0.8634686346863468,0.8206412825651302,0.9110122358175751
hotel,hotel-stars,mapping,categorical,0.9032695699362366,0.7005459890802185,0.6587677725118484,0.747982062780269
hotel,hotel-internet,non-mapping,categorical,0.8477818477818477,0.015789473684210527,0.020594965675057208,0.012802275960170697
hotel,hotel-name,mapping,non-categorical,0.7701804368471035,0.21935483870967742,0.14066193853427897,0.497907949790795
hotel,hotel-area,non-mapping,categorical,0.7745217745217745,0.3502736512900703,0.25310734463276835,0.5685279187817259
train,train-destination,mapping,categorical,0.6181497558328811,0.5806643825413378,0.4472234970169803,0.8276008492569003
train,train-arriveby,non-mapping,non-categorical,0.7643787303309821,0.10968733982573038,0.17065390749601275,0.08081570996978851
train,train-departure,mapping,categorical,0.8415626695604992,0.7432967032967033,0.7832329782306623,0.7072354663320787
train,train-day,non-mapping,categorical,0.8958220293000543,0.8415841584158416,0.8789314950452392,0.8072813612979818
train,train-bookpeople,mapping,categorical,0.8632664134563213,0.21126760563380279,0.9854014598540146,0.11831726555652936
train,train-leaveat,non-mapping,non-categorical,0.763293543136191,0.4332575511529717,0.291520979020979,0.843236409608091
attraction,attraction-area,non-mapping,categorical,0.39446554530656536,0.27391021470396876,0.16732909379968203,0.7544802867383512
attraction,attraction-name,mapping,non-categorical,0.7981551817688551,0.09378806333739342,0.12706270627062707,0.07432432432432433
attraction,attraction-type,mapping,categorical,0.8293543136190993,0.4882017900732303,0.56657223796034,0.42887776983559683
restaurant,restaurant-pricerange,mapping,categorical,0.8794085729788389,0.739982451009067,0.7059151785714286,0.7775046097111248
restaurant,restaurant-area,non-mapping,categorical,0.7885241454150841,0.6081930133199297,0.46935608999224204,0.8636688079942898
restaurant,restaurant-food,mapping,non-categorical,0.7703472599023331,0.48805563955246445,0.32911908646003263,0.9438596491228071
restaurant,restaurant-name,mapping,non-categorical,0.7144601193705914,0.22808947561422807,0.13428324697754748,0.7566909975669099
restaurant,restaurant-bookday,non-mapping,categorical,0.9525230602278894,0.8700816629547142,0.7897574123989218,0.968595041322314
restaurant,restaurant-bookpeople,mapping,categorical,0.9180683667932719,0.7518488085456039,0.8250676284941388,0.690566037735849
restaurant,restaurant-booktime,mapping,non-categorical,0.9507596310363537,0.8648044692737431,0.7755511022044088,0.9772727272727273
taxi,taxi-leaveat,non-mapping,non-categorical,0.6346988605534455,0.11210023079459282,0.0619533527696793,0.5882352941176471
taxi,taxi-destination,mapping,non-categorical,0.38836136733586546,0.030947775628626696,0.016913319238900635,0.18181818181818182
taxi,taxi-departure,non-mapping,non-categorical,0.9160336408030385,0.060698027314112286,0.050505050505050504,0.07604562737642585
taxi,taxi-arriveby,non-mapping,non-categorical,0.967444384156267,0.0,0.0,0.0
