Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_map_noncat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_cat_accuracy
default,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226444,0.954566264243082,0.9735146500271296,0.607900892217325,0.6781904960152255,0.6736415925122083,0.7079150841020075,0.838584139989148,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.0791000813890396,0.1961475854584916,0.2845558403418339,0.6085514599823232
default,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226444,0.954566264243082,0.9735146500271296,0.607900892217325,0.6781904960152255,0.6736415925122083,0.7079150841020075,0.838584139989148,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.0791000813890396,0.1961475854584916,0.2845558403418339,0.6085514599823232
default,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.9820944112859468,1.0,0.9820944112859468,0.2655843266200849,0.0,0.7414541508410201,0.8440043407487792,0.8171459576776994,0.7973412913727618,0.7973412913727618,1.0,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.3819444444444444
default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,
default,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9713781877373848,0.9742268041237112,0.9801953336950624,0.4604105778194843,0.7870165394402036,0.6294669017905589,0.6819045035268584,0.8974755832881172,0.6603364080303853,0.6603364080303853,1.0,0.499413958220293,0.5031199131850245,0.8901239962018448,0.384236655280959
default,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
default,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8586543678784591,0.8602821486706457,0.938279978296256,0.8366896041988472,0.909860103626943,0.5400953608247423,0.6304937601736299,0.7554161692892024,0.7860824742268041,0.7860824742268041,1.0,0.4774840477821486,0.5397449810092241,0.7459929749674444,0.8129523445463812
default,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.951709169831796,0.9629679869777537,0.9556429734129136,0.6177239583333334,0.6177239583333334,0.9534196961475856,,0.9534196961475856,0.9113724362452524,,0.9113724362452524,0.9063408532781334,,0.9063408532781334,
default,train,1.0,0.946825827455236,1.0,0.946825827455236,0.8373123530475675,0.8390531741725448,0.9319045035268584,0.7953880402806065,0.792932521997486,0.5037718529571351,0.6752577319587629,0.7694632935431363,0.6781120455778622,0.8878187737384698,0.6911934346174715,0.3179265926912643,0.5964460119370592,0.538874707959848,0.7791353383458647
