Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_map_noncat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_cat_accuracy
default,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702116,0.9735146500271296,0.6171111076526363,0.7516691447603187,0.8028128811720021,0.841223548562127,0.8829624091155724,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.1079270732501356,0.2204286489419424,0.3776947618014107,0.5598465022523188
default,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702116,0.9735146500271296,0.6171111076526363,0.7516691447603187,0.8028128811720021,0.841223548562127,0.8829624091155724,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.1079270732501356,0.2204286489419424,0.3776947618014107,0.5598465022523188
default,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.960119370591427,0.966087900162778,0.9820944112859468,0.4344862309905467,0.5845845697329377,0.7702970699945739,0.8579761258817146,0.851467715680955,0.7973412913727618,0.7973412913727618,1.0,0.703068950081389,0.75,0.847575827455236,0.3501984126984127
default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,
default,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.4752590865042564,0.79,0.7967145957677699,0.8543136190992946,0.8986543678784591,0.6603364080303853,0.6603364080303853,1.0,0.6481609061313077,0.6530113944655453,0.891498317959848,0.403320775567611
default,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
default,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.9051817688551276,0.9074877916440586,0.938279978296256,0.8135448785024997,0.9156088082901556,0.7103798155181769,0.7711611502984265,0.8686846446011937,0.7860824742268041,0.7860824742268041,1.0,0.6547018990775909,0.6857026587086272,0.8593944263700488,0.7793832823649337
default,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.9522517634291916,0.9644601193705914,0.9556429734129136,0.5482369791666667,0.5482369791666667,0.9448100922409116,,0.9448100922409116,0.9113724362452524,,0.9113724362452524,0.9086759336698862,,0.9086759336698862,
default,train,1.0,0.946825827455236,1.0,0.946825827455236,0.8603725809368782,0.8622490504612046,0.9319045035268584,0.7163450441276307,0.7443900697063193,0.7918628323385783,0.8814432989690721,0.8511952251763429,0.6781120455778622,0.8878187737384698,0.6911934346174715,0.641107967018765,0.8123982637004883,0.6542309537534369,0.6422932330827068
nocross,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702116,0.9735146500271296,0.4503151016376569,0.3166309821180761,0.7327183939229517,0.841223548562127,0.7650569723277265,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.8080575149213239,0.8168520528124434,0.8460729788388497,0.5598465022523188
nocross,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702116,0.9735146500271296,0.4503151016376569,0.3166309821180761,0.7327183939229517,0.841223548562127,0.7650569723277265,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.8080575149213239,0.8168520528124434,0.8460729788388497,0.5598465022523188
nocross,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.960119370591427,0.966087900162778,0.9820944112859468,0.2995615837785998,0.1557863501483679,0.7166304937601736,0.8579761258817146,0.773060227889311,0.7973412913727618,0.7973412913727618,1.0,0.6805480195333695,0.75,0.773060227889311,0.3501984126984127
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,
nocross,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.3634121770810333,0.1717557251908397,0.7310092240911558,0.8543136190992946,0.7668204015192621,0.6603364080303853,0.6603364080303853,1.0,0.6418882257189366,0.6530113944655453,0.7668204015192621,0.403320775567611
nocross,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
nocross,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.9051817688551276,0.9074877916440586,0.938279978296256,0.682544388526251,0.4759067357512953,0.6483993488876831,0.7711611502984265,0.7093054801953337,0.7860824742268041,0.7860824742268041,1.0,0.6253391209983722,0.6857026587086272,0.7093054801953337,0.7793832823649337
nocross,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.9522517634291916,0.9644601193705914,0.9556429734129136,0.3833333333333333,0.3833333333333333,0.9289202387411828,,0.9289202387411828,0.9088442756375474,,0.9088442756375474,0.9072164948453608,,0.9072164948453608,
