domain,slot,mapping,categorical,accuracy,f1,recall,precision
hotel,hotel-pricerange,non-mapping,categorical,0.842919153553988,0.38404255319148933,0.48717948717948717,0.3169446883230904
hotel,hotel-type,non-mapping,categorical,0.8102278893109062,0.22493074792243767,0.2942028985507246,0.18206278026905828
hotel,hotel-parking,non-mapping,categorical,0.8510580575149214,0.03345070422535211,0.04738154613466334,0.02585034013605442
hotel,hotel-bookday,non-mapping,categorical,0.9267498643516007,0.7213622291021672,0.6760154738878144,0.7732300884955752
hotel,hotel-bookpeople,mapping,categorical,0.9158979924036896,0.6774193548387096,0.7161716171617162,0.6426456071076012
hotel,hotel-bookstay,mapping,categorical,0.9712425393380358,0.8900414937759336,0.8693009118541033,0.9117959617428267
hotel,hotel-stars,mapping,categorical,0.9366521975040695,0.8096208724011416,0.75,0.8795394154118689
hotel,hotel-internet,non-mapping,categorical,0.847802495930548,0.007079646017699116,0.030303030303030304,0.004008016032064128
hotel,hotel-name,mapping,non-categorical,0.7668204015192621,0.23904382470119523,0.1511758118701008,0.5708245243128964
hotel,hotel-area,non-mapping,categorical,0.773060227889311,0.37270341207349084,0.2679245283018868,0.6120689655172413
train,train-arriveby,non-mapping,non-categorical,0.8244709712425393,0.5680907877169559,0.5050445103857567,0.6491228070175439
train,train-departure,mapping,non-categorical,0.7110689093868693,0.3698224852071006,0.2648305084745763,0.6127450980392157
train,train-day,non-mapping,categorical,0.8878187737384698,0.8253431890179512,0.7894949494949495,0.8646017699115044
train,train-bookpeople,mapping,categorical,0.8814432989690721,0.3955739972337483,0.9285714285714286,0.2513181019332162
train,train-leaveat,non-mapping,non-categorical,0.7803852414541509,0.45870946171848886,0.32713400095374345,0.767337807606264
train,train-destination,mapping,non-categorical,0.6938415626695605,0.31997589635432355,0.24458774758175955,0.4625435540069686
attraction,attraction-area,non-mapping,categorical,0.7973412913727618,0.35934819897084047,0.49236192714453586,0.28291694800810263
attraction,attraction-name,mapping,non-categorical,0.773060227889311,0.20066889632107024,0.15021459227467812,0.302158273381295
attraction,attraction-type,mapping,categorical,0.8579761258817146,0.5759416767922236,0.7917594654788419,0.452577975811585
restaurant,restaurant-pricerange,mapping,categorical,0.8756104177970699,0.7314787701317716,0.6923503325942351,0.7752948479205463
restaurant,restaurant-area,non-mapping,categorical,0.8107704829083017,0.6673026472692584,0.5287226001511716,0.9043309631544926
restaurant,restaurant-food,mapping,categorical,0.8914812805208898,0.8203861697350697,0.7095145631067962,0.9723257051623204
restaurant,restaurant-name,mapping,non-categorical,0.7201573521432447,0.2634773295251696,0.1544579321892005,0.8956310679611651
restaurant,restaurant-bookday,non-mapping,categorical,0.9485892566467715,0.8566023458191447,0.7764060356652949,0.9552742616033755
restaurant,restaurant-bookpeople,mapping,categorical,0.9422137818773738,0.845203488372093,0.8098885793871866,0.8837386018237082
restaurant,restaurant-booktime,mapping,non-categorical,0.9621540965816603,0.8983606557377048,0.8253012048192772,0.9856115107913669
taxi,taxi-leaveat,non-mapping,non-categorical,0.9599837221920782,0.6651532349602722,0.5017123287671232,0.9865319865319865
taxi,taxi-destination,mapping,non-categorical,0.9289202387411829,0.2681564245810056,0.32989690721649484,0.22588235294117648
taxi,taxi-departure,non-mapping,non-categorical,0.9226804123711341,0.18803418803418803,0.1575178997613365,0.2332155477031802
taxi,taxi-arriveby,non-mapping,non-categorical,0.9525230602278894,0.5218579234972678,0.3812375249500998,0.8268398268398268
