Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_cat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_map_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_noncat_accuracy
default,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083016,0.6184544864718301,0.5739115028515694,0.8031119967444383,0.8353567552902875,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.8728909217308737,0.1086174422137818,0.2080846446011937,0.359893456863809,0.7428168560606061
default,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083016,0.6184544864718301,0.5739115028515694,0.8031119967444383,0.8353567552902875,0.8541555819316332,0.8552631578947368,0.9503207338578404,0.8728909217308737,0.1086174422137818,0.2080846446011937,0.359893456863809,0.7428168560606061
default,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.960119370591427,0.966087900162778,0.9820944112859468,0.4344862309905467,0.3501984126984127,0.7702970699945739,0.8579761258817146,0.7973412913727618,0.7973412913727618,1.0,0.851467715680955,0.703068950081389,0.75,0.847575827455236,0.5845845697329377
default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,
default,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.4752590865042564,0.403320775567611,0.7967145957677699,0.8543136190992946,0.6603364080303853,0.6603364080303853,1.0,0.8986543678784591,0.6481609061313077,0.6530113944655453,0.891498317959848,0.79
default,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
default,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8566196418882257,0.859875203472599,0.8863266413456321,0.8204360871659442,0.7325461349851593,0.713179354313619,0.8385784047748237,0.7860824742268041,0.7860824742268041,1.0,0.7966315111231688,0.655408393598752,0.7110689093868693,0.7873681504381442,0.9207058896312796
default,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.9522517634291916,0.9644601193705914,0.9556429734129136,0.5482369791666667,,0.9448100922409116,,0.9113724362452524,,0.9113724362452524,0.9448100922409116,0.9086759336698862,,0.9086759336698862,0.5482369791666667
default,train,1.0,0.946825827455236,1.0,0.946825827455236,0.9211882799782962,0.9236299511665762,0.9319045035268584,0.7148707852455307,0.7253569000679809,0.7905588714053174,0.7905588714053174,0.6781120455778622,0.8878187737384698,0.6911934346174715,,0.6420158041237113,0.7504069451980466,0.6853606690179056,0.6581441476826395
nocross,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083016,0.4926709039899732,0.5739115028515694,0.7577862181226261,0.8353567552902875,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7780453065653825,0.8094987791644058,0.8107478748417435,0.8460729788388497,0.384715909090909
nocross,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083016,0.4926709039899732,0.5739115028515694,0.7577862181226261,0.8353567552902875,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7780453065653825,0.8094987791644058,0.8107478748417435,0.8460729788388497,0.384715909090909
nocross,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.960119370591427,0.966087900162778,0.9820944112859468,0.2995615837785998,0.3501984126984127,0.7166304937601736,0.8579761258817146,0.7973412913727618,0.7973412913727618,1.0,0.773060227889311,0.6805480195333695,0.75,0.773060227889311,0.1557863501483679
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,
nocross,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.3634121770810333,0.403320775567611,0.7310092240911558,0.8543136190992946,0.6603364080303853,0.6603364080303853,1.0,0.7668204015192621,0.6418882257189366,0.6530113944655453,0.7668204015192621,0.1717557251908397
nocross,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
nocross,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8566196418882257,0.859875203472599,0.8863266413456321,0.5898251033932932,0.7325461349851593,0.6218122626153011,0.8385784047748237,0.7860824742268041,0.7860824742268041,1.0,0.6433803581117743,0.606348345089528,0.7110689093868693,0.6433803581117743,0.4514352882949764
nocross,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.9522517634291916,0.9644601193705914,0.9556429734129136,0.3833333333333333,,0.9289202387411828,,0.9088442756375474,,0.9088442756375474,0.9289202387411828,0.9072164948453608,,0.9072164948453608,0.3833333333333333
nocross,train,1.0,0.946825827455236,1.0,0.946825827455236,0.9211882799782962,0.9236299511665762,0.9319045035268584,0.694908350305499,0.7253569000679809,0.7905588714053174,0.7905588714053174,0.667932718393923,0.8878187737384698,0.6781063483450895,,0.6399891481280521,0.7504069451980466,0.6781063483450895,0.5671641791044776
nofuzzy,#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083016,0.4926709039899732,0.5739115028515694,0.2126966901790558,0.4797883884970157,0.2061855670103092,0.3266413456321215,0.5918339663591969,0.3370862723819859,0.0701302224633749,0.2080846446011937,0.1934346174715138,0.384715909090909
nofuzzy,#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083016,0.4926709039899732,0.5739115028515694,0.2126966901790558,0.4797883884970157,0.2061855670103092,0.3266413456321215,0.5918339663591969,0.3370862723819859,0.0701302224633749,0.2080846446011937,0.1934346174715138,0.384715909090909
nofuzzy,attraction,1.0,0.9305480195333696,1.0,0.9305480195333696,0.960119370591427,0.966087900162778,0.9820944112859468,0.2995615837785998,0.3501984126984127,0.7166304937601736,0.8579761258817146,0.7973412913727618,0.7973412913727618,1.0,0.773060227889311,0.6805480195333695,0.75,0.773060227889311,0.1557863501483679
nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,
nofuzzy,hotel,1.0,0.9610689093868692,1.0,0.9610689093868692,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.3634121770810333,0.403320775567611,0.7310092240911558,0.8543136190992946,0.6603364080303853,0.6603364080303853,1.0,0.7668204015192621,0.6418882257189366,0.6530113944655453,0.7668204015192621,0.1717557251908397
nofuzzy,police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,
nofuzzy,restaurant,1.0,0.9618827997829624,1.0,0.9618827997829624,0.8566196418882257,0.859875203472599,0.8863266413456321,0.5898251033932932,0.7325461349851593,0.6218122626153011,0.8385784047748237,0.7860824742268041,0.7860824742268041,1.0,0.6433803581117743,0.606348345089528,0.7110689093868693,0.6433803581117743,0.4514352882949764
nofuzzy,taxi,1.0,0.9918610960390668,1.0,0.9918610960390668,0.9522517634291916,0.9644601193705914,0.9556429734129136,0.3833333333333333,,0.9289202387411828,,0.9088442756375474,,0.9088442756375474,0.9289202387411828,0.9072164948453608,,0.9072164948453608,0.3833333333333333
nofuzzy,train,1.0,0.946825827455236,1.0,0.946825827455236,0.9211882799782962,0.9236299511665762,0.9319045035268584,0.694908350305499,0.7253569000679809,0.7905588714053174,0.7905588714053174,0.667932718393923,0.8878187737384698,0.6781063483450895,,0.6399891481280521,0.7504069451980466,0.6781063483450895,0.5671641791044776
