Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_cat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_map_noncat_accuracy,average_noncat_accuracy
#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083017,0.4926709039899732,0.5739115028515694,0.8094987791644058,0.8107478748417435,0.8460729788388497,0.7577862181226261,0.8353567552902875,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7780453065653825,0.384715909090909
#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9577116115029842,0.9610519533369506,0.9670204829083017,0.4926709039899732,0.5739115028515694,0.8094987791644058,0.8107478748417435,0.8460729788388497,0.7577862181226261,0.8353567552902875,0.8525671459576777,0.8552631578947368,0.9483688279978296,0.7780453065653825,0.384715909090909
attraction,1.0,0.9305480195333695,1.0,0.9305480195333695,0.960119370591427,0.9660879001627781,0.9820944112859469,0.2995615837785998,0.3501984126984127,0.6805480195333695,0.75,0.773060227889311,0.7166304937601736,0.8579761258817146,0.7973412913727618,0.7973412913727618,1.0,0.773060227889311,0.15578635014836795
bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,
hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,
hotel,1.0,0.9610689093868693,1.0,0.9610689093868693,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.36341217708103335,0.403320775567611,0.6418882257189366,0.6530113944655453,0.7668204015192621,0.7310092240911558,0.8543136190992946,0.6603364080303853,0.6603364080303853,1.0,0.7668204015192621,0.1717557251908397
police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,
restaurant,1.0,0.9618827997829625,1.0,0.9618827997829625,0.8566196418882257,0.859875203472599,0.8863266413456321,0.5898251033932932,0.7325461349851593,0.606348345089528,0.7110689093868693,0.6433803581117743,0.6218122626153011,0.8385784047748237,0.7860824742268041,0.7860824742268041,1.0,0.6433803581117743,0.4514352882949764
taxi,1.0,0.9918610960390667,1.0,0.9918610960390667,0.9522517634291915,0.9644601193705914,0.9556429734129137,0.3833333333333333,,0.9072164948453608,,0.9072164948453608,0.9289202387411829,,0.9088442756375474,,0.9088442756375474,0.9289202387411829,0.3833333333333333
train,1.0,0.946825827455236,1.0,0.946825827455236,0.9211882799782962,0.9236299511665762,0.9319045035268584,0.694908350305499,0.7253569000679809,0.6399891481280521,0.7504069451980466,0.6781063483450895,0.7905588714053174,0.7905588714053174,0.667932718393923,0.8878187737384698,0.6781063483450895,,0.5671641791044776
